epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8196,2.53381,4.04631,3.02954,0.0033,1,0.59522,0.12389,2.08834,4.03809,2.63506,0.0005,0.0005,0.0005
2,180.626,1.45005,2.73128,1.84691,0.0033,1,0.78423,0.45135,1.37758,3.45421,1.85326,0.00091902,0.00091902,0.00091902
3,265.246,1.46368,2.7327,1.82891,0.88979,0.88812,0.94241,0.37741,1.99584,2.80554,2.73101,0.00123508,0.00123508,0.00123508
4,363.243,1.39141,2.58649,1.74683,0.64083,0.99,0.96213,0.45663,1.53129,7.21215,2.19567,0.001406,0.001406,0.001406
5,459.793,1.16817,2.45515,1.59574,0.49399,1,0.94717,0.46558,1.26796,7.49695,1.88838,0.001208,0.001208,0.001208
6,539.997,1.15397,2.34809,1.56436,0.86545,0.99,0.97366,0.63929,1.23647,2.80271,1.83869,0.00101,0.00101,0.00101
7,627.053,1.12535,2.09271,1.54497,0.9846,0.99,0.99412,0.62226,1.23987,2.05514,1.82326,0.000812,0.000812,0.000812
8,713.728,1.09046,2.01429,1.40612,0.99353,1,0.995,0.68969,0.94296,1.91724,1.4975,0.000614,0.000614,0.000614
9,796.549,1.0257,1.85735,1.38874,0.99791,1,0.995,0.78428,0.93858,1.69909,1.48385,0.000416,0.000416,0.000416
10,876.715,1.02236,1.79629,1.37427,0.99627,1,0.995,0.82875,0.89996,1.7524,1.45937,0.000218,0.000218,0.000218
