epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.193,1.12639,1.7291,1.53921,0.99745,1,0.995,0.81572,0.7178,1.74812,1.26735,0.00066,0.00066,0.00066
2,566.135,0.92433,1.17752,1.33442,0.99822,1,0.995,0.8542,0.59185,1.2688,1.15798,0.0013004,0.0013004,0.0013004
3,870.653,0.91955,1.02182,1.31723,0.9987,1,0.995,0.82048,0.67962,1.10048,1.22128,0.0019144,0.0019144,0.0019144
4,1153.94,0.93107,0.97202,1.32006,0.99836,1,0.995,0.88856,0.55013,1.04799,1.09749,0.0018812,0.0018812,0.0018812
5,1441.59,0.82578,0.85831,1.26012,0.99934,1,0.995,0.86279,0.62167,0.76211,1.16202,0.0018416,0.0018416,0.0018416
6,1703.83,0.81398,0.7746,1.24506,0.99853,1,0.995,0.89464,0.48826,0.65821,1.00554,0.001802,0.001802,0.001802
7,1982.86,0.76118,0.69151,1.21721,0.99754,1,0.995,0.87317,0.53071,0.60334,1.05579,0.0017624,0.0017624,0.0017624
8,2281.54,0.7299,0.65321,1.20054,0.99924,1,0.995,0.8998,0.47115,0.47962,1.00634,0.0017228,0.0017228,0.0017228
9,2587.93,0.76366,0.61774,1.20179,0.9994,1,0.995,0.88794,0.46968,0.41943,1.00356,0.0016832,0.0016832,0.0016832
10,2868.73,0.68439,0.56885,1.15356,0.99935,1,0.995,0.90266,0.43271,0.42969,0.96295,0.0016436,0.0016436,0.0016436
11,3118.49,0.69615,0.57327,1.16431,0.99917,1,0.995,0.90347,0.43536,0.40593,0.95246,0.001604,0.001604,0.001604
12,3399.9,0.66978,0.55493,1.13171,0.99919,1,0.995,0.87207,0.45982,0.41867,1.0015,0.0015644,0.0015644,0.0015644
13,3707.12,0.66487,0.53664,1.15072,0.99942,1,0.995,0.92417,0.36413,0.31646,0.90642,0.0015248,0.0015248,0.0015248
14,4035.07,0.64509,0.4966,1.11966,0.99939,1,0.995,0.91829,0.40081,0.31468,0.9282,0.0014852,0.0014852,0.0014852
15,4358.39,0.6361,0.48087,1.11107,0.99942,1,0.995,0.94568,0.32383,0.27863,0.86266,0.0014456,0.0014456,0.0014456
16,4693.63,0.56919,0.45415,1.0818,0.99944,1,0.995,0.93743,0.32064,0.29379,0.85759,0.001406,0.001406,0.001406
17,4997.76,0.60474,0.46085,1.08393,0.99945,1,0.995,0.94404,0.3277,0.27099,0.86625,0.0013664,0.0013664,0.0013664
18,5290.56,0.5744,0.4344,1.08155,0.99943,1,0.995,0.95127,0.34576,0.26742,0.88108,0.0013268,0.0013268,0.0013268
19,5612.66,0.56477,0.42908,1.08298,0.99942,1,0.995,0.95216,0.32722,0.2661,0.86568,0.0012872,0.0012872,0.0012872
20,5941.84,0.55603,0.43721,1.06505,0.99947,1,0.995,0.96174,0.29683,0.25444,0.84,0.0012476,0.0012476,0.0012476
21,6205,0.52634,0.40233,1.06468,0.99944,1,0.995,0.95161,0.31586,0.27313,0.8588,0.001208,0.001208,0.001208
22,6435.96,0.50033,0.39241,1.03939,0.99946,1,0.995,0.97443,0.24773,0.2212,0.80232,0.0011684,0.0011684,0.0011684
23,6652.37,0.52589,0.40771,1.05015,0.99944,1,0.995,0.9714,0.28589,0.22789,0.82936,0.0011288,0.0011288,0.0011288
24,6866.68,0.49948,0.39431,1.03506,0.99946,1,0.995,0.9628,0.27135,0.22736,0.81647,0.0010892,0.0010892,0.0010892
25,7079.94,0.50312,0.3865,1.03231,0.99945,1,0.995,0.97844,0.24985,0.21786,0.81657,0.0010496,0.0010496,0.0010496
26,7294.15,0.47632,0.35068,1.02636,0.99945,1,0.995,0.982,0.24534,0.21295,0.80984,0.00101,0.00101,0.00101
27,7507.66,0.45219,0.3537,1.01335,0.99945,1,0.995,0.96181,0.27266,0.23643,0.81904,0.0009704,0.0009704,0.0009704
28,7721.18,0.43746,0.33966,0.99644,0.99942,1,0.995,0.98133,0.2474,0.20773,0.80692,0.0009308,0.0009308,0.0009308
29,7935.29,0.43247,0.33684,0.98745,0.99945,1,0.995,0.98492,0.25323,0.20484,0.80928,0.0008912,0.0008912,0.0008912
30,8148.36,0.4374,0.33743,1.00753,0.99943,1,0.995,0.97732,0.23942,0.18392,0.7958,0.0008516,0.0008516,0.0008516
31,8361.91,0.44172,0.34515,1.00799,0.99946,1,0.995,0.97625,0.26477,0.20198,0.81343,0.000812,0.000812,0.000812
32,8576.63,0.44234,0.34176,1.00742,0.99945,1,0.995,0.96713,0.25163,0.2104,0.81179,0.0007724,0.0007724,0.0007724
33,8790.05,0.43561,0.33973,0.99437,0.99946,1,0.995,0.99098,0.21936,0.19404,0.78746,0.0007328,0.0007328,0.0007328
34,9001.62,0.41802,0.31598,0.99005,0.99944,1,0.995,0.99211,0.22135,0.19545,0.79167,0.0006932,0.0006932,0.0006932
35,9214.02,0.38663,0.30727,0.98162,0.99947,1,0.995,0.98999,0.20657,0.17432,0.77868,0.0006536,0.0006536,0.0006536
36,9426.69,0.40419,0.32795,0.98568,0.99946,1,0.995,0.98808,0.21619,0.17152,0.78053,0.000614,0.000614,0.000614
37,9638.98,0.38107,0.30806,0.96856,0.99946,1,0.995,0.98603,0.22226,0.16892,0.78494,0.0005744,0.0005744,0.0005744
38,26689.4,0.39183,0.31606,0.98066,0.99946,1,0.995,0.98752,0.21805,0.17591,0.78317,0.0005348,0.0005348,0.0005348
39,26991.7,0.40417,0.31476,0.99414,0.99947,1,0.995,0.99281,0.19869,0.1674,0.77355,0.0004952,0.0004952,0.0004952
40,27275.1,0.3736,0.29541,0.97914,0.99946,1,0.995,0.9938,0.183,0.15969,0.76769,0.0004556,0.0004556,0.0004556
41,27621.9,0.21098,0.18894,0.86244,0.99947,1,0.995,0.995,0.17463,0.15931,0.7619,0.000416,0.000416,0.000416
42,27984.3,0.21145,0.17833,0.84824,0.99947,1,0.995,0.995,0.17279,0.16356,0.7601,0.0003764,0.0003764,0.0003764
43,28371.6,0.20262,0.17256,0.85218,0.99947,1,0.995,0.995,0.17681,0.15576,0.75868,0.0003368,0.0003368,0.0003368
44,28724.1,0.19004,0.1682,0.85007,0.99947,1,0.995,0.995,0.16906,0.1475,0.75654,0.0002972,0.0002972,0.0002972
45,28960.7,0.18533,0.15713,0.83202,0.99948,1,0.995,0.995,0.17177,0.14483,0.75909,0.0002576,0.0002576,0.0002576
46,29180.4,0.18557,0.15762,0.84622,0.99948,1,0.995,0.995,0.15737,0.13802,0.75172,0.000218,0.000218,0.000218
47,29396.2,0.18054,0.1536,0.83627,0.99948,1,0.995,0.995,0.1619,0.14174,0.75382,0.0001784,0.0001784,0.0001784
48,29617.1,0.17094,0.14673,0.82061,0.99947,1,0.995,0.995,0.14591,0.13024,0.74694,0.0001388,0.0001388,0.0001388
49,29830.9,0.16255,0.14268,0.83446,0.99947,1,0.995,0.995,0.15135,0.13417,0.74868,9.92e-05,9.92e-05,9.92e-05
50,30047.7,0.1591,0.14115,0.83192,0.99948,1,0.995,0.995,0.1461,0.12725,0.74727,5.96e-05,5.96e-05,5.96e-05
